isn_vinculo;num_ano;num_mes;8;10;15;19;39;70;94;97;207;324;666;680;1367;1369;IF_label;IF_score;anomalo
297091;2011;4;0.0;4464.39;1116.1;0.0;0.0;0.0;0.0;55.31;4464.39;0.0;0.0;0.0;0.0;0.0;1;0.04274015518629071;0
297175;2011;4;0.0;4989.11;2494.56;1237.9;1748.6;0.0;0.0;49.71;2002.61;0.0;0.0;0.0;0.0;0.0;1;0.03458611349469054;0
297608;2011;4;1229.45;0.0;122.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0
297091;2011;5;0.0;4464.39;1116.1;0.0;0.0;0.0;0.0;0.0;4464.39;0.0;0.0;0.0;0.0;0.0;1;0.12169163675961497;0
297175;2011;5;0.0;4989.11;2494.56;1237.9;1748.6;0.0;0.0;0.0;2002.61;0.0;0.0;0.0;0.0;0.0;1;0.08534036113936772;0
297608;2011;5;0.0;0.0;122.95;0.0;0.0;0.0;0.0;0.0;1229.45;0.0;0.0;0.0;0.0;0.0;1;0.09551331184441231;0
297091;2011;6;0.0;4464.39;1116.1;0.0;0.0;0.0;0.0;0.0;4464.39;0.0;0.0;0.0;0.0;0.0;1;0.12169163675961497;0
297175;2011;6;0.0;4989.11;2494.56;1237.9;1748.6;0.0;0.0;0.0;2002.61;0.0;0.0;0.0;0.0;0.0;1;0.08534036113936772;0
297608;2011;6;0.0;0.0;122.95;0.0;0.0;0.0;0.0;0.0;1229.45;0.0;0.0;0.0;0.0;0.0;1;0.09551331184441231;0
297091;2011;7;0.0;4464.39;1116.1;0.0;0.0;0.0;0.0;0.0;4464.39;0.0;0.0;0.0;0.0;0.0;1;0.12169163675961497;0
297175;2011;7;0.0;4989.11;2494.56;1237.9;1748.6;0.0;0.0;0.0;2002.61;0.0;0.0;0.0;0.0;0.0;1;0.08534036113936772;0
297608;2011;7;0.0;0.0;122.95;0.0;0.0;0.0;0.0;0.0;1229.45;0.0;0.0;0.0;0.0;0.0;1;0.09551331184441231;0
297091;2011;8;0.0;4464.39;1116.1;0.0;0.0;0.0;0.0;0.0;4464.39;0.0;0.0;0.0;0.0;0.0;1;0.12169163675961497;0
297175;2011;8;0.0;4989.11;2494.56;1237.9;1748.6;0.0;0.0;0.0;2002.61;0.0;0.0;0.0;0.0;0.0;1;0.08534036113936772;0
297608;2011;8;0.0;0.0;122.95;0.0;0.0;0.0;0.0;0.0;1229.45;129.14;0.0;0.0;0.0;0.0;-1;-0.0120352819664995;1
297091;2011;9;0.0;4464.39;1116.1;0.0;0.0;0.0;0.0;0.0;4464.39;0.0;0.0;0.0;0.0;0.0;1;0.12169163675961497;0
297175;2011;9;0.0;4989.11;2494.56;1237.9;1748.6;0.0;0.0;0.0;2002.61;0.0;0.0;0.0;0.0;0.0;1;0.08534036113936772;0
297608;2011;9;0.0;0.0;122.95;0.0;0.0;0.0;0.0;0.0;1229.45;0.0;0.0;0.0;0.0;0.0;1;0.09551331184441231;0
297091;2011;10;0.0;4464.39;1116.1;0.0;0.0;0.0;0.0;0.0;4464.39;0.0;0.0;0.0;0.0;0.0;1;0.12169163675961497;0
297175;2011;10;0.0;4989.11;2494.56;1237.9;1748.6;0.0;0.0;0.0;2002.61;0.0;0.0;0.0;0.0;0.0;1;0.08534036113936772;0
297608;2011;10;0.0;0.0;122.95;0.0;0.0;0.0;0.0;0.0;1229.45;0.0;0.0;0.0;0.0;0.0;1;0.09551331184441231;0
297091;2011;11;0.0;4464.39;1116.1;0.0;0.0;0.0;0.0;0.0;4464.39;0.0;0.0;0.0;0.0;0.0;1;0.12169163675961497;0
297175;2011;11;0.0;4989.11;2494.56;1237.9;1748.6;0.0;0.0;0.0;2002.61;0.0;0.0;0.0;0.0;0.0;1;0.08534036113936772;0
297608;2011;11;0.0;0.0;122.95;0.0;0.0;0.0;0.0;0.0;1229.45;0.0;0.0;0.0;0.0;0.0;1;0.09551331184441231;0
297091;2011;12;0.0;4464.39;1116.1;0.0;0.0;0.0;0.0;0.0;4464.39;0.0;0.0;0.0;0.0;0.0;1;0.12169163675961497;0
297175;2011;12;0.0;4989.11;2494.56;1237.9;1748.6;0.0;0.0;0.0;2002.61;0.0;0.0;0.0;0.0;0.0;1;0.08534036113936772;0
297608;2011;12;0.0;0.0;122.95;0.0;0.0;0.0;0.0;0.0;1229.45;0.0;0.0;0.0;0.0;0.0;1;0.09551331184441231;0
297091;2012;1;0.0;4776.9;1194.23;0.0;0.0;0.0;0.0;0.0;4776.9;0.0;0.0;0.0;0.0;0.0;1;0.15626036709028662;0
297175;2012;1;0.0;5338.34;2669.17;1324.55;1871.0;0.0;0.0;0.0;2142.79;0.0;0.0;0.0;0.0;0.0;1;0.15031450742272684;0
297608;2012;1;1315.51;0.0;131.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15996536116886434;0
297091;2012;2;0.0;4776.9;1194.23;0.0;0.0;0.0;0.0;0.0;4776.9;0.0;0.0;0.0;0.0;0.0;1;0.15626036709028662;0
